Label,Frontplate,Rotation,End Plate,Rotation,ID
Primary,dataMatrix=0617046492,rotation=2,dataMatrix=0000000001,rotation=9,id=382e8a3b-83dd-9f97-01c4-678e33f9860e
Secondary,dataMatrix=0000000010,rotation=9,dataMatrix=0000000000,rotation=1,id=3ad63253-5f96-33c0-fe96-50449fe0ea60
